filename,class,bbox
img086351.jpg,smart_1,"[183, 311, 657, 415]"
img083734.jpg,smart_1,"[361, 352, 479, 716]"
img081317.jpg,smart_1,"[163, 16, 905, 785]"
img089140.jpg,smart_1,"[188, 427, 499, 573]"
img082379.jpg,smart_1,"[152, 462, 1024, 605]"
img089707.jpg,smart_1,"[590, 308, 666, 779]"
img080704.jpg,smart_1,"[328, 0, 549, 1024]"
img088364.jpg,smart_1,"[400, 554, 647, 770]"
img089629.jpg,smart_1,"[192, 693, 466, 802]"
img088990.jpg,smart_1,"[661, 289, 735, 639]"
img087083.jpg,smart_1,"[588, 184, 657, 495]"
img080647.jpg,smart_1,"[351, 0, 791, 1024]"
img089951.jpg,smart_1,"[63, 485, 676, 651]"
img084706.jpg,smart_1,"[285, 413, 699, 685]"
img086719.jpg,smart_1,"[394, 376, 597, 708]"
img080260.jpg,smart_1,"[364, 749, 1024, 1024]"
img084546.jpg,smart_1,"[345, 347, 846, 866]"
img084187.jpg,smart_1,"[245, 305, 883, 659]"
img081165.jpg,smart_1,"[0, 352, 1024, 629]"
img083103.jpg,smart_1,"[255, 85, 426, 1024]"
img084943.jpg,smart_1,"[386, 285, 600, 839]"
img080483.jpg,smart_1,"[549, 0, 974, 1024]"
img081117.jpg,smart_1,"[305, 0, 871, 760]"
img080652.jpg,smart_1,"[150, 0, 724, 1024]"
img086670.jpg,smart_1,"[451, 513, 865, 601]"
img089438.jpg,smart_1,"[644, 655, 1024, 805]"
img089674.jpg,smart_1,"[626, 378, 773, 463]"
img084173.jpg,smart_1,"[80, 304, 682, 649]"
img088513.jpg,smart_1,"[307, 325, 426, 581]"
img081727.jpg,smart_1,"[272, 190, 950, 964]"
img088960.jpg,smart_1,"[379, 354, 472, 615]"
img089286.jpg,smart_1,"[576, 276, 874, 441]"
img085016.jpg,smart_1,"[411, 171, 681, 712]"
img089526.jpg,smart_1,"[539, 307, 601, 575]"
img083851.jpg,smart_1,"[225, 419, 705, 533]"
img089439.jpg,smart_1,"[481, 475, 684, 701]"
img081726.jpg,smart_1,"[607, 0, 837, 876]"
img089910.jpg,smart_1,"[298, 542, 514, 604]"
img089753.jpg,smart_1,"[191, 80, 436, 580]"
img089402.jpg,smart_1,"[427, 255, 729, 444]"
img086680.jpg,smart_1,"[687, 216, 787, 418]"
img082277.jpg,smart_1,"[325, 288, 1024, 842]"
img080100.jpg,smart_1,"[352, 0, 880, 1024]"
img089326.jpg,smart_1,"[534, 509, 1024, 597]"
img084238.jpg,smart_1,"[632, 338, 721, 991]"
img089186.jpg,smart_1,"[721, 103, 856, 558]"
img084738.jpg,smart_1,"[390, 394, 807, 887]"
img087874.jpg,smart_1,"[400, 574, 554, 653]"
img089824.jpg,smart_1,"[236, 369, 302, 983]"
img083607.jpg,smart_1,"[407, 207, 820, 692]"
img082943.jpg,smart_1,"[9, 198, 989, 606]"
img088671.jpg,smart_1,"[382, 470, 682, 671]"
img083496.jpg,smart_1,"[348, 484, 627, 618]"
img080242.jpg,smart_1,"[0, 132, 1024, 474]"
img085482.jpg,smart_1,"[365, 532, 628, 596]"
img085824.jpg,smart_1,"[492, 401, 830, 571]"
img088521.jpg,smart_1,"[329, 636, 440, 793]"
img088643.jpg,smart_1,"[549, 367, 864, 503]"
